size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
25430,103,286,31,10652,222988,4,4,0,0,0,0,4,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25431,103,286,31,10652,223001,3,3,0,0,0,0,3,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25432,103,820,31,39795,222858,304,277,2917,10,27,0,3184,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25433,103,820,31,39795,222858,56,0,2855,5,76,0,2830,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
25434,103,820,31,39796,222871,0,0,4860,14,32,0,0,4,Actual,62,Lines of Code,LOC,\N,\N,\N,\N,1
25435,103,820,31,39796,222871,120,41,4944,5,79,0,4980,1,Plan,62,Lines of Code,LOC,\N,\N,\N,\N,1
28801,390,795,31,45001,272003,2404,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28802,385,286,31,45051,272235,2,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28803,385,286,31,45051,272235,2,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28804,385,286,31,45051,272221,170,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28805,385,286,31,45051,272221,62,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28806,385,286,31,45051,272207,1,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28807,385,286,31,45051,272207,2,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28808,385,286,31,45051,272214,2,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28809,385,286,31,45051,272214,10,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28810,385,286,31,45051,272200,1,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28811,385,286,31,45051,272200,5,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28812,385,286,31,45051,272193,9,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28813,385,286,31,45051,272193,2,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28814,385,286,31,45052,272280,49,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28815,385,286,31,45052,272280,34,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28816,385,286,31,45052,272297,36,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28817,385,286,31,45052,272297,25,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28818,385,286,31,45052,272270,8,0,0,0,0,0,0,1,Plan,114,Hours,Hours,1064,PROBE,23,Capsule,1
28819,385,286,31,45052,272243,132,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28820,385,286,31,45052,272243,30,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28821,385,286,31,45052,272253,17,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28822,385,286,31,45052,272253,13,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28823,385,286,31,45052,272290,1,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28824,385,286,31,45052,272290,5,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28825,385,286,31,45052,272304,69,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28826,385,286,31,45052,272304,46,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28827,385,287,31,45051,272228,4,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28828,385,287,31,45051,272228,4,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28829,385,287,31,45052,272263,23,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28830,385,287,31,45052,272263,10,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28831,385,287,31,45052,272270,213,0,0,0,0,0,0,4,Actual,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28832,385,287,31,45052,272270,30,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28833,385,287,31,45053,272325,10,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28834,385,287,31,45053,272315,21,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28835,385,800,31,45053,272416,300,0,0,0,0,0,0,1,Plan,120,Lines of Code,LOC,1064,PROBE,23,Capsule,1
28836,376,958,31,45064,272571,3,0,0,0,0,0,0,1,Plan,118,Test Cases,Test Cases,\N,\N,\N,\N,1
