size_fact_key,project_key,person_key,team_key,wbs_element_key,plan_item_key,size_added_and_modified,size_added,size_base,size_deleted,size_modified,size_reused,size_total,measurement_type_key,measurement_type_name,size_metric_key,size_metric_name,size_metric_short_name,phase_key,phase_short_name,process_key,process_name,row_current_flag
28445,246,823,84,39829,223148,1422,1057,1677,199,365,0,2535,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25494,246,824,84,39830,223160,300,280,1961,313,20,0,1928,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28501,246,824,84,39830,223160,316,219,1961,540,97,0,1640,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25537,246,826,84,39831,223172,6,6,181,0,0,0,187,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25538,246,826,84,39831,223172,30,30,321,0,0,0,351,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28502,246,824,84,39843,223184,406,406,0,0,0,0,406,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28503,246,824,84,39843,223184,410,410,100,0,0,0,510,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25442,246,821,84,39833,223196,150,130,2200,0,20,0,2330,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28424,246,821,84,39833,223196,505,476,4538,18,29,0,4996,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28442,246,823,84,39826,223208,1076,1068,804,13,8,0,1859,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28443,246,823,84,39826,223208,150,150,0,0,0,0,150,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25476,246,823,84,39822,223220,90,90,300,0,0,0,390,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28440,246,823,84,39822,223220,174,159,401,16,15,0,544,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28475,246,825,84,39835,223232,286,286,0,0,0,0,286,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28476,246,825,84,39835,223232,35,35,100,0,0,0,135,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28420,246,821,84,39824,223244,1497,1497,479,0,0,0,1976,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28421,246,821,84,39824,223244,1247.1109619140625,1247.1109619,104,0,0,0,1351.1109619,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28499,246,824,84,39821,223268,631,591,435,15,40,0,1011,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28500,246,824,84,39821,223268,70,65,479,0,5,0,544,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25539,246,826,84,39838,223280,180,180,100,0,0,0,280,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28515,246,826,84,39838,223280,736,736,0,0,0,0,736,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25475,246,823,84,39820,223292,550,550,300,0,0,0,850,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28439,246,823,84,39820,223292,1373,1373,29,0,0,0,1402,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28470,246,825,84,39823,223304,777,777,0,0,0,0,777,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28471,246,825,84,39823,223304,35,35,100,0,0,0,135,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28472,246,825,84,39832,223316,152,99,575,35,53,0,639,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28473,246,825,84,39832,223316,30,5,465,0,25,0,470,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28481,246,825,84,39842,223328,538,458,343,81,80,0,720,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28482,246,825,84,39842,223328,372.4630126953125,302.4630127,482,0,70,0,784.4630127,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25456,246,822,84,39818,223340,778,778,0,0,0,0,778,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25457,246,822,84,39818,223340,220,220,100,0,0,0,320,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25479,246,823,84,39828,223352,60,60,200,0,0,0,260,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28444,246,823,84,39828,223352,374,338,628,19,36,0,947,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28477,246,825,84,39836,223364,5,3,233,2,2,0,234,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28478,246,825,84,39836,223364,44.05500030517578,24.055000305,306,0,20,0,330.05499268,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28516,246,826,84,39839,223376,282,282,0,0,0,0,282,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28517,246,826,84,39839,223376,240,240,100,0,0,0,340,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28422,246,821,84,39827,223388,368,368,5268,0,0,0,5636,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28423,246,821,84,39827,223388,250,250,5260,0,0,0,5510,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28483,246,825,84,39845,223412,449,442,142,25,7,0,559,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28484,246,825,84,39845,223412,394.22100830078125,384.2210083,169,0,10,0,553.2210083,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28489,246,825,84,39866,223424,3658,2979,4413,511,679,0,6881,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28490,246,825,84,39866,223424,595,205,5193,0,390,0,5398,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28487,246,825,84,39867,223436,359,332,3021,21,27,0,3332,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28488,246,825,84,39867,223436,340,340,3838,0,0,0,4178,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25461,246,822,84,39868,223448,319,216,1286,102,103,0,1400,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
25462,246,822,84,39868,223448,30,0,395,0,120,0,305,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
25463,246,822,84,39870,223460,30,0,358,0,108,0,280,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28456,246,822,84,39870,223460,153,126,347,12,27,0,461,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28510,246,824,84,39869,223472,667,652,2413,50,15,0,3015,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28511,246,824,84,39869,223472,542.35498046875,532.35498047,2413,0,10,0,2945.3549805,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28493,246,825,84,39883,223484,1142,952,1006,438,190,0,1520,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28494,246,825,84,39883,223484,540,410,1111,0,130,0,1521,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28416,246,821,84,39804,223496,328,281,800,0,47,0,1081,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28417,246,821,84,39804,223496,655.2260131835938,625.22601318,800,0,30,0,1425.2259521,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28463,246,822,84,39885,223508,2249,2108,6047,18,141,0,8137,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28464,246,822,84,39885,223508,30,0,5387,0,645,0,4772,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28459,246,822,84,39887,223520,826,826,335,0,0,0,1161,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28460,246,822,84,39887,223520,60,58,363,0,2,0,421,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
28457,246,822,84,39886,223532,826,826,335,0,0,0,1161,4,Actual,5,Lines of Code,LOC,\N,\N,\N,\N,1
28458,246,822,84,39886,223532,60,58,363,0,2,0,421,1,Plan,5,Lines of Code,LOC,\N,\N,\N,\N,1
